node_id,community,name,type
0,0,安徽永生堂辛伐他汀片,Producer
1,1,宜昌人福硫酸妥布霉素注射液,Producer
2,2,南国药业复合维生素B片,Producer
3,3,海南制药一厂盐酸胺碘酮片,Producer
4,3,肺泡蛋白质沉积症,Disease
5,4,百日咳,Disease
6,5,苯中毒,Disease
7,3,喘息样支气管炎,Disease
8,5,成人呼吸窘迫综合征,Disease
9,3,大量羊水吸入,Disease
10,3,单纯性肺嗜酸粒细胞浸润症,Disease
11,4,大叶性肺炎,Disease
12,4,大楼病综合征,Disease
13,5,二硫化碳中毒,Disease
14,4,肺-胸膜阿米巴病,Disease
15,3,肺出血－肾炎综合征,Disease
16,4,肺放线菌病,Disease
17,3,肺泡蛋白沉着症,Disease
18,4,肺曲菌病,Disease
19,4,放射性肺炎,Disease
20,6,肺念珠菌病,Disease
21,3,肺大疱,Disease
22,4,肺炎球菌肺炎,Disease
23,3,肺气肿,Disease
24,4,肺炎杆菌肺炎,Disease
25,3,肺脓肿,Disease
26,3,肺栓塞,Disease
27,4,肺炎,Disease
28,3,肺大泡,Disease
29,5,肺水肿,Disease
30,3,非典,Disease
31,7,肺转移瘤,Disease
32,3,肺炎性假瘤,Disease
33,3,肺隐球菌病,Disease
34,7,肺癌,Disease
35,5,镉中毒,Disease
36,4,感冒,Disease
37,5,感染性休克,Disease
38,5,过敏性休克,Disease
39,8,Goodpasture综合征,Disease
40,3,过敏性肺炎,Disease
41,5,汞中毒,Disease
42,3,呼吸道异物,Disease
43,3,呼吸性细支气管相关的间质性肺疾病,Disease
44,5,呼吸衰竭,Disease
45,4,呼吸道合胞病毒肺炎,Disease
46,4,减压病,Disease
47,5,急性呼吸衰竭,Disease
48,9,急性肺脓肿,Disease
49,5,军团病,Disease
50,5,急性呼吸窘迫综合征,Disease
51,9,军团菌病,Disease
52,3,结核性脓胸,Disease
53,4,金黄色葡萄球菌肺炎,Disease
54,5,咖啡因与氨茶碱中毒,Disease
55,9,卡氏肺囊虫肺炎,Disease
56,4,咯血,Disease
57,5,硫化氢中毒,Disease
58,3,老年肺炎,Disease
59,4,流行性感冒,Disease
60,4,免疫缺陷者肺炎,Disease
61,5,镍中毒,Disease
62,5,铍中毒,Disease
63,1,缺血缺氧性脑病,Disease
64,3,气胸,Disease
65,4,球孢子菌病,Disease
66,4,禽流感,Disease
67,3,迁延性肺嗜酸粒细胞浸润症,Disease
68,3,气管肿瘤,Disease
69,3,气管先天性疾病,Disease
70,3,气管、支气管狭窄,Disease
71,5,乳酸性酸中毒,Disease
72,3,热带性肺嗜酸粒细胞浸润症,Disease
73,4,手术后和创伤后肺炎,Disease
74,3,鼾症,Disease
75,3,特发性肺纤维化,Disease
76,3,脱屑性间质性肺炎,Disease
77,4,特发性阻塞性细支气管炎伴机化性肺炎,Disease
78,3,特发性含铁血黄素沉着症,Disease
79,4,外源性过敏性肺泡炎,Disease
80,10,小儿结核病,Disease
81,3,新生儿呼吸窘迫综合征,Disease
82,5,吸入性损伤,Disease
83,3,小儿金黄色葡萄球菌肺炎,Disease
84,3,小儿急性支气管炎,Disease
85,4,小儿流行性感冒,Disease
86,4,小儿急性喉炎,Disease
87,3,矽肺,Disease
88,3,新生儿窒息,Disease
89,3,小儿支原体肺炎,Disease
90,3,新生儿肺不张,Disease
91,4,小儿感冒,Disease
92,3,哮喘,Disease
93,3,小儿哮喘,Disease
94,5,小儿肺炎,Disease
95,3,新生儿呼吸暂停,Disease
96,3,先天性肺囊肿,Disease
97,3,休克型肺炎,Disease
98,3,吸入性肺炎,Disease
99,3,腺病毒肺炎,Disease
100,3,哮喘性肺嗜酸粒细胞浸润症,Disease
101,3,细菌性肺炎,Disease
102,3,新生儿湿肺,Disease
103,3,胸壁结核,Disease
104,5,乙醚中毒,Disease
105,5,淹溺,Disease
106,3,衣原体肺炎,Disease
107,3,羊水与胎粪吸入综合征,Disease
108,5,一氧化碳中毒,Disease
109,3,阻塞性肺气肿,Disease
110,4,支原体肺炎,Disease
111,4,支气管扩张,Disease
112,5,支气管肺炎,Disease
113,6,变应性血管炎,Disease
114,3,病毒性心肌炎,Disease
115,3,病态窦房结综合征,Disease
116,11,川崎病,Disease
117,9,穿透性心脏外伤,Disease
118,9,窦性停搏,Disease
119,3,单心室,Disease
120,3,单心房,Disease
121,12,单纯性下肢静脉曲张,Disease
122,3,动脉硬化,Disease
123,3,动脉导管未闭,Disease
124,3,窦性心动过速,Disease
125,3,动脉瘤,Disease
126,3,二尖瓣关闭不全,Disease
127,3,二尖瓣狭窄,Disease
128,3,二尖瓣脱垂综合征,Disease
129,3,二尖瓣环钙化,Disease
130,3,肺性脑病,Disease
131,3,风湿性二尖瓣狭窄,Disease
132,3,风湿性二尖瓣关闭不全,Disease
133,3,肥厚型梗阻性心肌病,Disease
134,3,房室管畸形,Disease
135,3,法洛四联症,Disease
136,4,风湿热,Disease
137,3,肺动脉口狭窄,Disease
138,3,肥厚型心肌病,Disease
139,3,房室传导阻滞,Disease
140,3,肺动静脉瘘,Disease
141,3,高血压危象,Disease
142,8,高血压,Disease
143,3,冠状动脉终止异常,Disease
144,3,冠状动脉异位起源,Disease
145,3,感染性心内膜炎,Disease
146,3,冠心病,Disease
147,3,后天性三尖瓣关闭不全,Disease
148,3,后天性动静脉瘘,Disease
149,9,间歇性眼球突出症,Disease
150,3,急性心肌梗死,Disease
151,3,酒精性心肌病,Disease
152,3,急性心功能不全,Disease
153,3,急性感染性心内膜炎,Disease
154,3,急性心包炎,Disease
155,3,急性心力衰竭,Disease
156,13,甲亢,Disease
157,3,扩张型心肌病,Disease
158,3,克山病,Disease
159,12,雷诺病,Disease
160,3,慢性肺源性心脏病,Disease
161,3,缺血性心肌病,Disease
162,12,四肢血栓性浅静脉炎,Disease
163,3,三尖瓣下移畸形,Disease
164,3,三尖瓣狭窄,Disease
165,3,三尖瓣关闭不全,Disease
166,3,三尖瓣闭锁,Disease
167,3,三房心,Disease
168,3,颈动脉体瘤,Disease
169,3,完全性肺静脉异位回流,Disease
170,3,完全性大动脉错位,Disease
171,5,休克,Disease
172,1,新生儿缺氧缺血性脑病,Disease
173,5,新生儿硬肿症,Disease
174,14,血管瘤,Disease
175,3,先天性风疹,Disease
176,12,血栓闭塞性脉管炎,Disease
177,3,胸降主动脉动脉瘤,Disease
178,3,胸主动脉夹层动脉瘤,Disease
179,3,心脏神经官能症,Disease
180,3,心内膜弹性纤维增生症,Disease
181,3,心绞痛,Disease
182,3,心肌梗塞并发心室间隔穿破,Disease
183,3,心肌梗塞并发二尖瓣关闭不全,Disease
184,3,心肌梗死,Disease
185,3,心功能障碍,Disease
186,3,心包囊肿,Disease
187,3,小儿高血压,Disease
188,3,小儿充血性心力衰竭,Disease
189,3,心肌梗塞并发左心室室壁瘤,Disease
190,3,先天性主动脉缩窄,Disease
191,3,先天性主动脉弓畸形,Disease
192,3,先天性主动脉瓣下狭窄,Disease
193,3,先天性主动脉瓣上狭窄,Disease
194,3,先天性动脉导管未闭,Disease
195,3,先天性动静脉瘘,Disease
196,3,先天性二尖瓣畸形,Disease
197,3,心包积液,Disease
198,3,心肌病,Disease
199,3,心律失常,Disease
200,3,限制型心肌病,Disease
201,3,心房扑动与心房颤动,Disease
202,3,心室内传导阻滞,Disease
203,3,先天性主动脉瓣窦动脉瘤破裂,Disease
204,3,心包肿瘤,Disease
205,4,血管运动性鼻炎,Disease
