k,inertia,silhouette
4,61430.1043034484,0.031423141791148704
6,60411.08894947756,0.02305906630678262
8,59372.183091431085,0.048159588478280356
10,58687.67405667647,0.04133677811265236
12,58147.142015383884,0.0544262738566971
14,57734.05321530913,0.04622032534105112
16,57118.92920910317,0.05383933790308989
18,56758.20496845778,0.051993254653454786
20,56553.093529668084,0.04360275755277824
22,56157.83911247256,0.05312669455311182
24,55838.20744661116,0.008576911789602158
26,55447.54940011447,0.044339554504124086
28,55314.16096975454,0.012299584986121626
30,54997.64666984432,0.011990773969465476
32,54664.5899386584,0.03246506300195022
34,54577.42782705037,0.02955246228717843
36,54125.55237487173,0.038383208398755746
38,53918.45504748885,0.030171105914846928
40,53466.53634946507,0.052614429416652723
